category	FROM	TO	evidence	source
TF-miRNA	E2F1	hsa-mir-15a	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-16	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-195	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-let-7a	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-let-7b	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-let-7c	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-let-7d	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-let-7i	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-mir-15b	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-mir-15a	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-mir-16	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-mir-195	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-mir-106b	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-mir-25	Experimental	PMID20584335
TF-miRNA	E2F3	hsa-mir-93	Experimental	PMID20584335
TF-miRNA	SPI1	hsa-mir-23a	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-let-7d	Experimental	PMID20584335
TF-miRNA	PTEN	hsa-mir-22	Experimental	PMID20584335
TF-miRNA	PTEN	hsa-mir-25	Experimental	PMID20584335
TF-miRNA	PTEN	hsa-mir-302	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-221	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-222	Experimental	PMID20584335
TF-miRNA	SRSF1	hsa-mir-7	Experimental	PMID20584335
TF-miRNA	SRSF1	hsa-mir-221	Experimental	PMID20584335
TF-miRNA	SRSF1	hsa-mir-222	Experimental	PMID20584335
TF-miRNA	IFNB1	hsa-mir143	Experimental	PMID20584335
TF-miRNA	IFNG	hsa-mir143	Experimental	PMID20584335
TF-miRNA	IFNB1	hsa-mir145	Experimental	PMID20584335
TF-miRNA	IFNG	hsa-mir145	Experimental	PMID20584335
TF-miRNA	TLR2	hsa-mir-146a	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-146a	Experimental	PMID20584335
TF-miRNA	SPI1	hsa-mir-146a	Experimental	PMID20584335
TF-miRNA	FOXO3	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	SOX2	hsa-mir-137	Experimental	PMID20584335
TF-miRNA	EZH2	hsa-mir-137	Experimental	PMID20584335
