gene	specific tissue
CIB3	Testis
CTC-254B4.1	Testis
CTD-2235C13.2	Testis
AC097713.4	Spleen
AC097713.3	Minor Salivary Gland
RN7SL217P	Brain - Nucleus accumbens (basal ganglia)
RP11-531H8.1	Testis
RP11-5P22.3	Testis
RP11-492A10.1	Testis
EPYC	Ovary
TATDN2P1	Testis
OR9H1P	Testis
RP11-436I24.1	Testis
RP11-406A9.2	Testis
ACTL9	Testis
ACTL8	Testis
RP11-31I22.4	Testis
RP11-31I22.1	Testis
RP1-288M22.2	Testis
RP11-353N14.1	Testis
RP11-218M11.3	Testis
ZNF733P	Testis
AC011893.3	Cells - EBV-transformed lymphocytes
CTD-2553L13.4	Testis
RNU6-1110P	Testis
CCT8L1P	Testis
KRT18P55	Testis
CTD-2072I24.1	Testis
OR5H6	Testis
RP5-1166F10.1	Testis
NEK4P3	Testis
TCP10	Testis
RP11-404I7.1	Testis
GPRC6A	Minor Salivary Gland
RP11-744K17.8	Testis
FAM170B	Testis
FAM170A	Testis
PAPPA-AS2	Prostate
RP11-744K17.2	Testis
AP001342.1	Testis
RP11-9M16.3	Testis
RP4-737A23.2	Testis
IL21	Testis
AC080008.1	Liver
IL22	Testis
RP11-279O17.2	Testis
IL26	Spleen
KIF2B	Testis
LINC00382	Testis
LINC00381	Testis
RP11-266E6.3	Testis
RP11-138B4.1	Testis
RP3-461F17.2	Testis
RP11-1112C15.2	Testis
RP11-1112C15.1	Pituitary
OR10AE3P	Testis
H2BFS	Testis
CTC-441N14.4	Testis
CTC-441N14.1	Testis
OR4N2	Testis
OR4N4	Testis
MIRLET7DHG	Testis
PRDX3P4	Uterus
RP1-172N19.1	Testis
AC004009.3	Testis
RP11-74C3.1	Testis
RP11-3L10.1	Testis
AC068134.6	Lung
AC068134.5	Lung
MPC1L	Testis
RP11-326C3.4	Testis
RP1-166H1.2	Testis
AP000432.2	Testis
OR2AI1P	Testis
LINC00837	Testis
LINC00838	Testis
RP11-403N16.5	Testis
RP11-403N16.2	Testis
RP11-403N16.3	Testis
RP11-405F3.5	Testis
RP11-179A10.3	Testis
RP11-30J20.1	Testis
RP11-244N9.6	Testis
AC090627.1	Pituitary
RP1-121G13.2	Testis
RNU1-105P	Testis
POM121L7	Testis
RP11-357K6.2	Testis
CTD-2318H23.1	Testis
RP11-588F10.1	Heart - Left Ventricle
RP11-69C17.4	Testis
RP11-69C17.2	Testis
RP1-41P2.7	Testis
RP11-299H22.6	Testis
RP11-612B6.1	Testis
RP11-219O3.2	Testis
RP11-192C21.2	Testis
RP5-892F13.2	Whole Blood
OR10D1P	Pituitary
CTD-2525I3.6	Testis
RP11-805I24.1	Testis
RP11-805I24.4	Testis
GAPDHP38	Pituitary
RP3-449H6.1	Testis
GAPDHP37	Ovary
AC116035.2	Testis
AC007050.17	Testis
RP11-124K4.1	Testis
RP11-76E16.2	Cells - Transformed fibroblasts
RP11-116D17.2	Testis
RP11-324P9.1	Testis
RP11-495K9.9	Testis
