Ctr9	Paf1	0.21
Nacc1	Sox2	0.126
Cav3	Flot1	0.21
Mta1	Set	0.126
Tnf	Zfand5	0.309
Fhl1	Tln1	0.21
Prnp	Psmc2	0.21
Hdac1	Suv39H1	0.376
Rnf31	Sharpin	0.61
Ggt1	Ywhaz	0.081
Lamp5	Ywhae	0.081
Dctn1	Ywhaz	0.081
Nup155	Ywhae	0.081
Nfe2	Uba52	0.21
Sap130	Ywhae	0.081
Acta1	Tspan8	0.126
Ddx1	Npm1	0.21
Iqcb1	Kpnb1	0.236
Pcgf2	Spata24	0.309
Kat2A	Rae1	0.126
Gsk3A	Ppp1Cc	0.236
Ehd4	Pou5F1	0.126
Mapk1	Pcyt1A	0.21
Dlg4	Prdx1	0.236
Ago2	Rps14	0.21
Peli3	Sqstm1	0.376
Hsd3B4	Nccrp1	0.081
Cask	Dlg1	0.21
Chd4	Ywhae	0.081
Ripk2	Uba52	0.376
Echdc3	Ywhae	0.081
Nphp4	Tubb3	0.236
Ppan	Ywhae	0.081
Arhgap32	Cdc42	0.309
Eed	Kiaa0196	0.126
Pdcd6	Timm22	0.126
Grin2B	Rps6Ka3	0.236
Map2K5	Sqstm1	0.183
Irak1	Mdfic	0.183
Hsd3B4	Ppif	0.081
Nfkbib	Rela	0.436
Kdm1A	Myod1	0.21
Cdkn2A	Tbrg1	0.731
Myh9	Nphp4	0.126
Itgb1	Unk	0.126
Bola1	Pgls	0.081
Apip	Ywhae	0.081
Mrps36	Pgls	0.081
Grk5	Ywhaz	0.081
Pgls	Tf	0.081
Hsd3B7	Pm20D1	0.081
Ikzf3	Ube2I	0.309
Actr3	Atp1B1	0.126
Slc44A2	Ywhae	0.081
Klhl40	Tubb1	0.21
Nanog	Psmd12	0.126
Lrp6	Sost	0.21
Ago2	Hist1H1E	0.21
Ywhae	Zswim8	0.081
Grin1	Pfkl	0.236
Nanog	Wdr33	0.236
En1	Jun	0.309
Hist2H3C2	Nphp1	0.126
Mecr	Ywhae	0.081
Ndn	Ttc4	0.183
Lgals3	Ywhae	0.081
Poli	Ubc	0.671
Sv2A	Ywhab	0.081
Akr1C18	Ywhae	0.081
Kcnma1	Ywhaq	0.332
Mark2	Ywhab	0.298
Cblb	Smad7	0.454
Ik	Lmna	0.21
Rcn2	Rpgrip1L	0.126
Ehmt2	L3Mbtl2	0.21
Cby1	Hmga2	0.126
Hsd3B7	Rpl37A	0.081
Adrm1	Psmb2	0.081
Krt15	Nphp4	0.126
App	Itm2B	0.21
Lhpp	Pgls	0.081
Lmo3	Tal2	0.183
Sec24C	Ywhae	0.081
Ptpn11	Ywhab	0.21
Cct8	Ilk	0.126
Col2A1	Col2A1	0.065
Dcakd	Hmga2	0.126
Ddx1	Ywhae	0.081
Atp1A1	Ywhab	0.081
Pgls	Rac1	0.081
Nanog	Rfc2	0.126
Bap18	Pou5F1	0.236
Ankrd17	Iqcb1	0.126
Foxp3	Mapre2	0.126
Esrrb	Med23	0.126
Eps8	Grin1	0.21
Cenpc	Prph	0.126
Cap2	Ywhae	0.081
Hdac2	Smarcb1	0.21
Eif3B	Fbxo32	0.126
Cyp2C70	Hsd3B7	0.081
Farsa	Rpgrip1L	0.126
Msx2	Spen	0.183
Ndel1	Pafah1B1	0.872
Aoc3	Ywhaz	0.081
Elfn2	Ywhae	0.081
Hsd3B7	Sumf1	0.081
Hist1H1A	Msx1	0.21
Phb	Ywhab	0.081
Eed	Smarca5	0.126
Abcg3	Ppia	0.126
Anapc7	Ywhah	0.126
Ak1	Kcnma1	0.332
Hsd3B7	Serbp1	0.081
Arrb1	Mdm2	0.183
Q0Vg62	Ywhah	0.126
Actg1	Anxa13	0.126
Nras	Pik3Cd	0.21
Mnt	Sin3B	0.309
Krt13	Ywhae	0.081
Cdx2	Hltf	0.183
Nudt19	Ywhae	0.081
Agps	Hsd3B4	0.081
Rbm5	Ywhae	0.081
Apba2	Stx12	0.126
Capn2	Ywhae	0.081
Spry2	Tesk1	0.21
Pik3C3	Q8K245	0.21
Cd27	Traf2	0.376
Cenpc	Ewsr1	0.126
Dmap1	Myc	0.332
Kiaa1468	Ywhae	0.081
Atp5O	Dlg4	0.236
Itch	Ralbp1	0.376
Med1	Tada2A	0.126
Clstn1	Scamp3	0.126
Nanog	Sin3A	0.416
Desi1	Rbm3	0.21
Atp6V1A	Traf6	0.376
Dlat	Ywhab	0.081
Gsta3	Ikbkb	0.183
Cdh5	Pard3	0.21
Eed	Srrt	0.126
Arid1A	Ss18	0.081
Hoxd4	Pbx1	0.183
Rbpjl	Tlx3	0.183
Hap1	Kif5A	0.376
Hsd3B4	Tm9Sf1	0.081
Psma1	Psmb10	0.21
Chuk	Krt10	0.332
Htra2	Xiap	0.454
Ndn	Q3Ujp5	0.183
Hmga2	Plekha7	0.126
Dlg4	Kalrn	0.236
Spata24	Tbp	0.309
Sorbs2	Ywhae	0.196
Col18A1	Hspg2	0.523
Map3K7	Sash1	0.21
Ret	Src	0.309
Arid4B	Tet1	0.21
Cenpc	Polr2A	0.126
Arhgap1	Pafah1B1	0.21
Dmd	Sgcz	0.21
Birc3	Htra2	0.454
Foxp3	Gtf3C1	0.126
Cul5	Socs5	0.183
Cct8	Rpgrip1L	0.126
Atp5F1	Ywhae	0.081
Nr1I3	Ppp2R1A	0.21
Dync1I1	Ywhab	0.081
Cbln1	Nrxn1	0.523
C1Qa	Ywhaz	0.126
Akt1	Prkce	0.21
Ing3	Kat5	0.126
Iqcb1	Lpp	0.236
Dsp	Gria2	0.126
Cdh2	Ndn	0.183
Gosr2	Hsd3B7	0.081
Cblb	Tlr4	0.21
Eed	Myo1D	0.126
Ahi1	Rps27A	0.126
Arhgdia	Eed	0.126
Invs	Tppp	0.126
Psma1	Psma5	0.21
Slc12A1	Ywhaz	0.081
Atg16L1	Sqstm1	0.21
Pou5F1	Rad21	0.196
Hcfc1	Pou5F1	0.49
