mirna	specific process
hsa-mir-430	Human embryonic stem cell (hESC) regulation
hsa-mir-451	Human embryonic stem cell (hESC) regulation
hsa-mir-470	Human embryonic stem cell (hESC) regulation
hsa-mir-486	Human embryonic stem cell (hESC) regulation
hsa-mir-489	Human embryonic stem cell (hESC) regulation
hsa-mir-9	Human embryonic stem cell (hESC) regulation
hsa-mir-93	Human embryonic stem cell (hESC) regulation
hsa-let-7g	Immune response
hsa-let-7i	Immune response
hsa-mir-100	Immune response
hsa-mir-101	Immune response
hsa-mir-105	Immune response
hsa-mir-125b	Immune response
hsa-mir-126	Immune response
hsa-mir-132	Immune response
hsa-mir-140	Immune response
hsa-mir-143	Immune response
hsa-mir-146a	Immune response
hsa-mir-146b	Immune response
hsa-mir-147	Immune response
hsa-mir-150	Immune response
hsa-mir-155	Immune response
hsa-mir-15a	Immune response
hsa-mir-16	Immune response
hsa-mir-17	Immune response
hsa-mir-181	Immune response
hsa-mir-181a	Immune response
hsa-mir-186	Immune response
hsa-mir-188	Immune response
hsa-mir-18a	Immune response
hsa-mir-192	Immune response
hsa-mir-196	Immune response
hsa-mir-199	Immune response
hsa-mir-19a	Immune response
hsa-mir-19b	Immune response
hsa-mir-203	Immune response
hsa-mir-20a	Immune response
hsa-mir-21	Immune response
hsa-mir-223	Immune response
hsa-mir-25	Immune response
hsa-mir-27b	Immune response
hsa-mir-31	Immune response
hsa-mir-320	Immune response
hsa-mir-328	Immune response
hsa-mir-342	Immune response
hsa-mir-370	Immune response
hsa-mir-424	Immune response
hsa-mir-449b	Immune response
hsa-mir-500	Immune response
hsa-mir-590	Immune response
hsa-mir-710	Immune response
hsa-mir-9	Immune response
hsa-mir-92a	Immune response
hsa-mir-98	Immune response
hsa-mir-103	Immune response
hsa-let-7g	Inflammation
hsa-mir-1	Inflammation
hsa-mir-100	Inflammation
hsa-mir-105	Inflammation
hsa-mir-1224	Inflammation
hsa-mir-125b	Inflammation
hsa-mir-126	Inflammation
hsa-mir-132	Inflammation
hsa-mir-133a	Inflammation
hsa-mir-140	Inflammation
hsa-mir-143	Inflammation
hsa-mir-146a	Inflammation
hsa-mir-146b	Inflammation
hsa-mir-147	Inflammation
hsa-mir-150	Inflammation
hsa-mir-155	Inflammation
hsa-mir-17	Inflammation
hsa-mir-181a	Inflammation
hsa-mir-182	Inflammation
hsa-mir-183	Inflammation
hsa-mir-188	Inflammation
hsa-mir-192	Inflammation
hsa-mir-196	Inflammation
hsa-mir-199	Inflammation
hsa-mir-199a	Inflammation
hsa-mir-203	Inflammation
hsa-mir-21	Inflammation
hsa-mir-223	Inflammation
hsa-mir-25	Inflammation
hsa-mir-27b	Inflammation
hsa-mir-31	Inflammation
hsa-mir-320	Inflammation
hsa-mir-328	Inflammation
hsa-mir-342	Inflammation
hsa-mir-370	Inflammation
hsa-mir-449b	Inflammation
hsa-mir-500	Inflammation
hsa-mir-705	Inflammation
hsa-mir-710	Inflammation
