mirna	specific process
mmu-mir-135b	Human embryonic stem cell (hESC) regulation
mmu-mir-137	Human embryonic stem cell (hESC) regulation
mmu-mir-141	Human embryonic stem cell (hESC) regulation
mmu-mir-142	Human embryonic stem cell (hESC) regulation
mmu-mir-143	Human embryonic stem cell (hESC) regulation
mmu-mir-144	Human embryonic stem cell (hESC) regulation
mmu-mir-145	Human embryonic stem cell (hESC) regulation
mmu-mir-146a	Human embryonic stem cell (hESC) regulation
mmu-mir-146b	Human embryonic stem cell (hESC) regulation
mmu-mir-148a	Human embryonic stem cell (hESC) regulation
mmu-mir-148b	Human embryonic stem cell (hESC) regulation
mmu-mir-150	Human embryonic stem cell (hESC) regulation
mmu-mir-155	Human embryonic stem cell (hESC) regulation
mmu-mir-15b	Human embryonic stem cell (hESC) regulation
mmu-mir-17	Human embryonic stem cell (hESC) regulation
mmu-mir-181a	Human embryonic stem cell (hESC) regulation
mmu-mir-182	Human embryonic stem cell (hESC) regulation
mmu-mir-192	Human embryonic stem cell (hESC) regulation
mmu-mir-195	Human embryonic stem cell (hESC) regulation
mmu-mir-196a	Human embryonic stem cell (hESC) regulation
mmu-mir-199a	Human embryonic stem cell (hESC) regulation
mmu-mir-199b	Human embryonic stem cell (hESC) regulation
mmu-mir-200	Human embryonic stem cell (hESC) regulation
mmu-mir-200c	Human embryonic stem cell (hESC) regulation
mmu-mir-203	Human embryonic stem cell (hESC) regulation
mmu-mir-20a	Human embryonic stem cell (hESC) regulation
mmu-mir-21	Human embryonic stem cell (hESC) regulation
mmu-mir-210	Human embryonic stem cell (hESC) regulation
mmu-mir-214	Human embryonic stem cell (hESC) regulation
mmu-mir-218	Human embryonic stem cell (hESC) regulation
mmu-mir-221	Human embryonic stem cell (hESC) regulation
mmu-mir-222	Human embryonic stem cell (hESC) regulation
mmu-mir-223	Human embryonic stem cell (hESC) regulation
mmu-mir-24	Human embryonic stem cell (hESC) regulation
mmu-mir-25	Human embryonic stem cell (hESC) regulation
mmu-mir-26a	Human embryonic stem cell (hESC) regulation
mmu-mir-26b	Human embryonic stem cell (hESC) regulation
mmu-mir-278	Human embryonic stem cell (hESC) regulation
mmu-mir-27a	Human embryonic stem cell (hESC) regulation
mmu-mir-290	Human embryonic stem cell (hESC) regulation
mmu-mir-291	Human embryonic stem cell (hESC) regulation
mmu-mir-294	Human embryonic stem cell (hESC) regulation
mmu-mir-295	Human embryonic stem cell (hESC) regulation
mmu-mir-296	Human embryonic stem cell (hESC) regulation
mmu-mir-302a	Human embryonic stem cell (hESC) regulation
mmu-mir-302b	Human embryonic stem cell (hESC) regulation
mmu-mir-302c	Human embryonic stem cell (hESC) regulation
mmu-mir-302d	Human embryonic stem cell (hESC) regulation
mmu-mir-309	Human embryonic stem cell (hESC) regulation
mmu-mir-30b	Human embryonic stem cell (hESC) regulation
mmu-mir-30c	Human embryonic stem cell (hESC) regulation
mmu-mir-31	Human embryonic stem cell (hESC) regulation
mmu-mir-322	Human embryonic stem cell (hESC) regulation
mmu-mir-323	Human embryonic stem cell (hESC) regulation
mmu-mir-326	Human embryonic stem cell (hESC) regulation
mmu-mir-34	Human embryonic stem cell (hESC) regulation
mmu-mir-346	Human embryonic stem cell (hESC) regulation
mmu-mir-34a	Human embryonic stem cell (hESC) regulation
mmu-mir-367	Human embryonic stem cell (hESC) regulation
mmu-mir-369	Human embryonic stem cell (hESC) regulation
mmu-mir-371	Human embryonic stem cell (hESC) regulation
mmu-mir-372	Human embryonic stem cell (hESC) regulation
mmu-mir-373	Human embryonic stem cell (hESC) regulation
