gene	specific tissue
4933408N05Rik	Testis
Tas2r119	Limb
4930542C16Rik	Testis
Cypt12	Testis
Cypt15	Testis
Olfr872	Testis
Gm11714	Liver
Olfr877	Adrenal Gland
Gm15415	Testis
Gm15412	Testis
Fam90a1a	Mammary Gland
Gm6040	Genital Adipose
Gm15419	Mammary Gland
Gm16054	Testis
Gm11399	Central Nervous System
Csta1	Limb
4930486I03Rik	Testis
DQ267102	Placenta
Gm15677	Bladder
Gm15674	Testis
Bcas3os1	Lung
Gm11579	Thymus
Gm15894	Frontal Lobe
Gm11374	Bladder
Gm15389	Testis
Gm8094	Cerebellum
Pdha2	Testis
Gm23634	Limb
Gm15762	Testis
Gm8257	Testis
Dnajb7	Testis
Pgr15l	Cerebellum
Gm12576	Bladder
Ms4a13	Testis
Ccdc83	Testis
Gm13154	Heart
Gm13151	Central Nervous System
4933402D24Rik	Testis
Olfr32	Frontal Lobe
9230106D20Rik	Genital Adipose
1700011A15Rik	Testis
Gm13715	Testis
Serpinb13	Stomach
Cypt2	Testis
Gm13538	Testis
Gm12000	Genital Adipose
Gm13023	Ovary
Gm16015	Testis
Gm15875	Testis
Klhl34	Heart
Fscb	Testis
Gm15873	Testis
Usp9y	Testis
E130304I02Rik	Cortex
4930595M18Rik	Testis
4921530L21Rik	Testis
Gm13125	Ovary
Prss21	Testis
Gm13441	Testis
Gm16120	Lung
Serpinb1c	Placenta
Gm136	Testis
Trbv30	Thymus
Foxd4	Limb
Gm3404	Testis
Adam25	Testis
Adam24	Testis
Adam20	Testis
Gm5114	Testis
Adam29	Testis
Gm5111	Thymus
CN725425	Testis
5031410I06Rik	Testis
4930586N03Rik	Testis
Slc36a1os	Testis
Gm16726	Testis
Olfr467	Genital Adipose
Lamp3	Lung
Gm5800	Testis
Slc12a1	Kidney
Gpr82	Genital Adipose
Gm14216	Testis
9230109A22Rik	Genital Adipose
Birc7	Cerebellum
S100z	Genital Adipose
1700060C20Rik	Testis
Cnga1	Thymus
Trim42	Testis
Gm9915	Central Nervous System
4921507L20Rik	Testis
9230113P08Rik	Genital Adipose
Gm9047	Testis
D030018L15Rik	Ovary
Gm5930	Testis
Olfr1509	Testis
Ifnk	Placenta
Cldn17	Stomach
Ppp1r3a	Heart
4930451E10Rik	Testis
BB287469	Liver
Gm12927	Kidney
Gm11418	Testis
Gm11149	Testis
Gm14426	Testis
1700112K13Rik	Testis
Crybb2	Placenta
Rtp1	Cerebellum
Gm26124	Cerebellum
Hsd17b3	Testis
Olfr1341	Genital Adipose
Olfr1342	Lung
D730045B01Rik	Bladder
Snord35b	Limb
4930483K19Rik	Testis
1700071M16Rik	Testis
4930557A04Rik	Testis
Psg20	Placenta
Pate4	Genital Adipose
Gm15461	Testis
4930402F06Rik	Testis
Gm15469	Testis
4933438A12Rik	Testis
Gm13850	Testis
Gm13853	Testis
Gm7873	Testis
Gm13856	Testis
Gm15609	Cerebellum
Abca14	Testis
Abca15	Testis
Abca16	Testis
Gm11565	Testis
Gm12148	Testis
Mir5125	Limb
Tcp10c	Testis
Gm12493	Spleen
Slc9c1	Testis
Gm12496	Bladder
Gm8229	Testis
Gm8220	Testis
Cd200r2	Colon
Wdr64	Testis
Gm12542	Heart
Acpt	Testis
Abhd16b	Testis
AY512931	Testis
Gm12720	Testis
1810012K08Rik	Liver
8030411F24Rik	Testis
Olfr23	Testis
Olfr24	Testis
Olfr27	Testis
Gm16263	Limb
Samt4	Testis
Fam122c	Testis
Samt2	Testis
Samt3	Testis
1700023C21Rik	Testis
Gm2245	Testis
Btbd18	Testis
Prl5a1	Placenta
Gm13709	Testis
Rapgef4os2	Bladder
Snora43	Liver
Snora41	Central Nervous System
Gm13707	Lung
Gm17023	Liver
4930577H14Rik	Testis
Gm16000	Testis
1700042G15Rik	Testis
Gm10619	Testis
Gm5346	Testis
4930515B02Rik	Testis
Clhc1	Testis
Gm16133	Limb
Prss38	Testis
Ccdc54	Testis
Ces2h	Duodenum
1700036O09Rik	Testis
Rhox2c	Central Nervous System
Rhox2b	Central Nervous System
Gm5168	Testis
Fthl17d	Testis
Fthl17f	Testis
Catsperb	Testis
Cpvl	Testis
1700003H04Rik	Testis
1700057G04Rik	Testis
Gm10392	Thymus
9230020A06Rik	Genital Adipose
Gm6455	Testis
Gm17359	Testis
Gm15628	Bladder
4921517D22Rik	Testis
Catsper1	Testis
Wdr20rt	Testis
Lcn10	Genital Adipose
Lcn12	Genital Adipose
Gm24044	Liver
Tbpl2	Ovary
Ighv15-2	Spleen
1700012P22Rik	Testis
Fgf2os	Limb
Gm6588	Testis
Gm6583	Testis
Il1f8	Stomach
Kank4os	Testis
Trim52	Testis
4930562D21Rik	Testis
1700080O16Rik	Testis
Gabrr1	Genital Adipose
Gabrr3	Cerebellum
Trav9n-1	Thymus
B630019A10Rik	Thymus
EU599041	Placenta
Prr9	Testis
Lrp8os1	Testis
Fbxw16	Ovary
Ppp2r2cos	Testis
Prr23a1	Testis
Fbxw19	Ovary
Trav13n-4	Thymus
4930584F24Rik	Testis
4930583K01Rik	Testis
Gm12930	Cortex
1700095J07Rik	Testis
4930526F13Rik	Testis
Gm4985	Testis
Krtap4-16	Small Intestine
Gm13999	Testis
Pnpla1os	Testis
Gm9789	Testis
Gm13997	Central Nervous System
Gm9898	Lung
Gm14250	Testis
Gm11775	Testis
4921509A06Rik	Testis
B130011K05Rik	Limb
Ankar	Testis
1700092K14Rik	Testis
Galntl5	Testis
Gm15473	Bladder
Gm15475	Lung
Gm13869	Genital Adipose
Gm8787	Central Nervous System
Aym1	Testis
Gm12150	Testis
Gm11592	Testis
Gm12159	Spleen
4931408C20Rik	Testis
1700092C17Rik	Testis
Gm1698	Testis
Apobec4	Testis
Ugt2b37	Liver
D1Pas1	Testis
Als2cr11b	Testis
Gm8232	Testis
Gm11280	Testis
Gm13609	Testis
Olfr16	Liver
Gm15107	Placenta
Nxf2	Testis
H2afb3	Testis
Ssxa1	Testis
Gm15290	Liver
4930563I02Rik	Testis
Gm8127	Cerebellum
4933405L10Rik	Testis
4933411G06Rik	Testis
Gm16035	Genital Adipose
Snora31	Central Nervous System
Gm17039	Testis
Hsf5	Testis
1700013N06Rik	Testis
Gm17035	Liver
A530032D15Rik	Spleen
Gm20420	Testis
Gm1070	Placenta
Gm15856	Thymus
Gm5592	Testis
Gm5591	Testis
Gm15851	Genital Adipose
A630091E08Rik	Thymus
Speer3	Testis
Speer2	Testis
1700112J05Rik	Testis
Trbv17	Thymus
Ankrd53	Testis
1700028N14Rik	Kidney
Pebp4	Testis
4930562F07Rik	Testis
Gm16108	Testis
Fbxo39	Testis
Zfp345	Placenta
4930402K13Rik	Testis
Olfr697	Testis
Gm597	Testis
Gm595	Testis
Teddm1b	Genital Adipose
Gm5174	Testis
Teddm1a	Genital Adipose
Gm4792	Stomach
1700054M17Rik	Testis
Aurkc	Testis
Gm17613	Testis
9530036M11Rik	Bladder
Gm20513	Spleen
Gm3513	Kidney
4933425L06Rik	Testis
Prl8a6	Placenta
Gm4181	Testis
Otol1	Central Nervous System
4930404I05Rik	Testis
Sox5os1	Testis
Gabra6	Cerebellum
A830035A12Rik	Testis
4930578I06Rik	Testis
Pp2d1	Testis
Otud6a	Testis
Slco6d1	Testis
Trim69	Testis
Igkv4-81	Spleen
C87977	Ovary
BC049730	Testis
Serpini2	Spleen
Cts6	Placenta
1700021L23Rik	Testis
Gm5916	Genital Adipose
Gm23999	Central Nervous System
Olfr750	Lung
1700125H20Rik	Testis
Gm10188	Testis
1700025F22Rik	Testis
Gm6482	Cerebellum
